AOA,CN
-0.000634576112326,0.045588866506037
2.0222363693053,0.196188591065297
3.98107379895915,0.437440309187199
6.01532409498723,0.67667662711517
8.08740702482192,0.91388255209656
10.0049410208449,1.20347985681099
12.0731852922957,1.59258401225272
14.0074995162886,2.07858329922401
16.05092970248,2.60726254477836
18.1057606052143,3.09024033437827
20.0537666854001,3.67056445492529
22.1221564779308,4.24720430382747
24.0407802762054,4.82663875393346
26.2157877668609,5.40831264367816
28.0431035901017,6.03390568082543
