AOA,Cl_CFD
-4.473529682,1.373245992
-1.492224156,1.265269154
0.478148191,1.229624474
3.424844323,1.343925805
5.315893727,1.428703807
7.666997939,1.63347112
9.822250393,1.817856502
11.91951584,1.961478021
14.51251424,2.133742587
16.86066993,2.218574759
19.416181,2.310882564
21.58694954,2.427892458
24.38057317,2.594976898
26.25131018,2.647286008
29.2127309,2.677215622
30.81129505,2.515108166
32.19088875,2.268628992
33.60311566,2.025941805
35.21954186,1.796052575
37.60324773,1.637263108
39.66760593,1.494431586
